Entity,Code,Year,Number of people without access to electricity
Slovenia,SVN,2011,0
Slovenia,SVN,2012,0
Slovenia,SVN,2013,0
Slovenia,SVN,2014,0
Slovenia,SVN,2015,0
Slovenia,SVN,2016,0
Slovenia,SVN,2017,0
Slovenia,SVN,2018,0
Slovenia,SVN,2019,0
Iceland,ISL,2005,0
Solomon Islands,SLB,2000,393881.56
Solomon Islands,SLB,2001,392017.062
Solomon Islands,SLB,2002,389695.935
Solomon Islands,SLB,2003,386818.376
Solomon Islands,SLB,2004,383262.417
Ireland,IRL,2005,0
Solomon Islands,SLB,2006,411809.616
Solomon Islands,SLB,2007,428647.843
Solomon Islands,SLB,2008,361673.35
Solomon Islands,SLB,2009,405963.416
Solomon Islands,SLB,2010,347289.765
Solomon Islands,SLB,2011,334527.393
Solomon Islands,SLB,2012,321277.216
Solomon Islands,SLB,2013,315944.937
South Africa,ZAF,2002,10753162.7
South Africa,ZAF,2003,9904471.04
South Africa,ZAF,2004,9032697.51
Israel,ISR,2005,0
South Africa,ZAF,2006,9358466.55
South Africa,ZAF,2008,9010084.43
South Africa,ZAF,2009,8783000.26
South Africa,ZAF,2010,8758101.36
South Africa,ZAF,2011,8528616.48
South Africa,ZAF,2012,7766400.87
South Africa,ZAF,2013,7945694.5
South Africa,ZAF,2014,7636185.76
South Africa,ZAF,2015,8141796.24
South Africa,ZAF,2016,8880808.54
South Africa,ZAF,2017,8893521.16
South Africa,ZAF,2018,8842255.56
South Africa,ZAF,2019,8783740.05
Italy,ITA,2005,0
Japan,JPN,2005,0
South Korea,KOR,1990,8605.12417
South Korea,KOR,1991,4386.6497
South Korea,KOR,1992,1461.91462
South Korea,KOR,1993,229.281212
South Korea,KOR,1994,0
South Korea,KOR,1995,0
South Korea,KOR,1997,0
South Korea,KOR,1998,0
South Korea,KOR,1999,0
South Korea,KOR,2000,0
South Korea,KOR,2001,0
South Korea,KOR,2002,0
South Korea,KOR,2003,0
South Korea,KOR,2004,0
Kazakhstan,KAZ,2005,0
South Korea,KOR,2006,0
South Korea,KOR,2007,0
South Korea,KOR,2008,0
South Korea,KOR,2009,0
South Korea,KOR,2010,0
Thailand,THA,2010,201585.096
Thailand,THA,2011,432601.43
Thailand,THA,2012,604673.853
Thailand,THA,2013,390425.171
Thailand,THA,2014,353388.555
Thailand,THA,2015,274858.076
Thailand,THA,2016,101989.898
Thailand,THA,2017,69209.817
Thailand,THA,2018,124971.217
Thailand,THA,2019,69625.581
Timor,TLS,2001,670503.216
Timor,TLS,2002,701940.596
Timor,TLS,2003,684760.53
Timor,TLS,2004,673029.147
North Macedonia,MKD,2005,0
Timor,TLS,2007,657069.992
Timor,TLS,2008,587847.999
Timor,TLS,2009,561868.7
Timor,TLS,2010,677980.54
Timor,TLS,2011,505999.543
Timor,TLS,2012,475820.169
Timor,TLS,2013,444158.07
Timor,TLS,2014,311550.545
Timor,TLS,2015,391409.046
Timor,TLS,2016,286532.915
Timor,TLS,2017,208400.85
Timor,TLS,2018,139044.828
Timor,TLS,2019,68326.1475
Togo,TGO,1998,3923686
Togo,TGO,1999,4010296.5
Togo,TGO,2000,4089412.15
Togo,TGO,2001,4067989.7
Togo,TGO,2002,4083817.47
Togo,TGO,2003,4094701.55
Togo,TGO,2004,4104117.21
Norway,NOR,2005,0
Togo,TGO,2006,4155037.2
Togo,TGO,2008,4143985.77
Togo,TGO,2009,4149068.73
Togo,TGO,2010,4444328.6
Togo,TGO,2011,3977351.22
Togo,TGO,2012,4134014.02
Togo,TGO,2013,4117064.09
Togo,TGO,2014,3875932.37
Togo,TGO,2015,4046638.68
Togo,TGO,2016,3991539.6
Togo,TGO,2017,4003207.52
Togo,TGO,2018,3944547.5
Togo,TGO,2019,3843881.26
Tonga,TON,1994,19147.8
Tonga,TON,1995,17518.1483
Tonga,TON,2011,8102.94116
United Arab Emirates,ARE,2004,0
United Kingdom,GBR,2003,0
